	Meaty	Medicinal	Chocolate	Wood	Spice	Herbaceous	Berry	Dairy	Green	Nutty	Petrol	Floral	Caramel	Sulphur	Tree fruit	Tropical	Marine	Earthy	Melon	Sour	Citrus	Roasted	Phenol	Pungent	Smoke	Toasted	Savory
0	0.25	0.21	0.25	0.07	0.06	0.05	0.07	0.19	0.12	0.21	0.67	0.09	0.07	0.11	0.02	0.05	0.43	0.29	0.06	0.27	0.14	0.16	0.17	0.15	0.06	0.0	0.0
1	0.03	0.06	0.21	0.03	0.06	0.05	0.07	0.19	0.01	0.19	0.67	0.09	0.01	0.11	0.02	0.05	0.43	0.06	0.06	0.27	0.14	0.11	0.17	0.15	0.06	0.0	0.0
2	0.14	0.15	0.29	0.09	0.19	0.14	0.18	0.19	0.23	0.36	0.17	0.28	0.31	0.11	0.15	0.13	0.29	0.2	0.11	0.73	0.22	0.11	0.17	0.39	0.06	0.14	0.0
3	0.03	0.04	0.04	0.01	0.06	0.02	0.1	0.25	0.07	0.07	0.17	0.04	0.12	0.02	0.03	0.06	0.14	0.11	0.06	0.27	0.22	0.04	0.07	0.07	0.22	0.29	0.0
4	0.06	0.04	0.14	0.03	0.06	0.05	0.07	0.25	0.06	0.11	0.17	0.06	0.09	0.04	0.03	0.06	0.21	0.09	0.06	0.2	0.02	0.09	0.1	0.07	0.22	0.29	0.5
5	0.06	0.02	0.04	0.01	0.06	0.02	0.04	0.25	0.02	0.04	0.17	0.02	0.06	0.04	0.01	0.02	0.21	0.09	0.06	0.2	0.02	0.02	0.1	0.02	0.22	0.14	0.5
6	0.11	0.04	0.07	0.03	0.03	0.07	0.13	0.31	0.22	0.11	0.5	0.06	0.1	0.11	0.07	0.09	0.36	0.16	0.11	0.2	0.05	0.09	0.07	0.09	0.06	0.14	0.5
7	0.17	0.08	0.29	0.07	0.19	0.12	0.1	0.44	0.15	0.33	0.33	0.14	0.14	0.07	0.09	0.13	0.21	0.27	0.11	0.2	0.08	0.16	0.23	0.17	0.11	0.29	0.5
8	0.17	0.08	0.04	0.07	0.19	0.12	0.03	0.44	0.01	0.03	0.33	0.14	0.01	0.07	0.07	0.13	0.21	0.27	0.06	0.2	0.08	0.16	0.23	0.02	0.11	0.29	0.5
9	0.47	0.33	0.64	0.31	0.58	0.34	0.71	0.69	0.72	0.78	0.67	0.59	0.73	0.36	0.49	0.66	0.71	0.59	0.56	0.8	0.4	0.33	0.6	0.59	0.61	0.29	0.5
10	0.47	0.02	0.04	0.31	0.58	0.34	0.04	0.69	0.02	0.06	0.17	0.03	0.04	0.05	0.02	0.05	0.71	0.04	0.56	0.8	0.01	0.02	0.6	0.04	0.61	0.29	0.5
11	0.11	0.12	0.04	0.06	0.16	0.08	0.19	0.25	0.17	0.09	0.17	0.11	0.17	0.05	0.07	0.18	0.07	0.07	0.17	0.27	0.05	0.04	0.1	0.13	0.17	0.14	0.5
12	0.11	0.12	0.04	0.06	0.16	0.08	0.19	0.25	0.17	0.1	0.17	0.11	0.17	0.05	0.07	0.18	0.07	0.07	0.17	0.27	0.05	0.04	0.1	0.15	0.17	0.14	0.5
13	0.11	0.17	0.07	0.09	0.16	0.15	0.35	0.25	0.27	0.12	0.17	0.18	0.26	0.07	0.22	0.35	0.07	0.16	0.28	0.27	0.07	0.04	0.1	0.17	0.17	0.14	0.5
14	0.11	0.12	0.04	0.06	0.16	0.08	0.19	0.25	0.17	0.1	0.17	0.11	0.17	0.05	0.07	0.18	0.07	0.07	0.17	0.27	0.05	0.04	0.1	0.15	0.17	0.14	0.5
15	0.11	0.12	0.04	0.06	0.16	0.08	0.2	0.25	0.17	0.09	0.17	0.11	0.17	0.05	0.07	0.18	0.07	0.07	0.17	0.27	0.05	0.04	0.1	0.15	0.17	0.14	0.5
16	0.11	0.15	0.07	0.06	0.16	0.08	0.24	0.25	0.18	0.09	0.17	0.11	0.17	0.05	0.14	0.19	0.07	0.07	0.28	0.27	0.05	0.04	0.1	0.13	0.17	0.14	0.5
17	0.17	0.38	0.39	0.37	0.39	0.51	0.64	0.69	0.6	0.44	0.17	0.47	0.63	0.12	0.45	0.66	0.43	0.46	0.61	0.67	0.33	0.09	0.47	0.57	0.44	0.29	0.5
18	0.11	0.12	0.04	0.06	0.16	0.08	0.2	0.25	0.17	0.09	0.17	0.11	0.17	0.05	0.07	0.2	0.07	0.07	0.17	0.27	0.05	0.04	0.1	0.13	0.17	0.14	0.5
19	0.14	0.17	0.04	0.07	0.23	0.12	0.25	0.25	0.23	0.1	0.17	0.14	0.19	0.05	0.16	0.28	0.07	0.09	0.22	0.27	0.06	0.07	0.13	0.15	0.22	0.14	0.5
20	0.11	0.17	0.14	0.07	0.19	0.1	0.3	0.31	0.21	0.14	0.17	0.18	0.22	0.05	0.16	0.28	0.07	0.09	0.22	0.27	0.07	0.04	0.1	0.22	0.17	0.14	0.5
21	0.11	0.12	0.04	0.09	0.16	0.08	0.2	0.25	0.17	0.09	0.17	0.14	0.18	0.05	0.07	0.2	0.07	0.07	0.17	0.27	0.05	0.04	0.1	0.13	0.17	0.14	0.5
22	0.14	0.12	0.04	0.06	0.16	0.1	0.2	0.25	0.18	0.09	0.17	0.11	0.17	0.09	0.07	0.18	0.07	0.07	0.17	0.27	0.05	0.04	0.1	0.13	0.17	0.14	0.5
23	0.14	0.02	0.04	0.07	0.1	0.02	0.03	0.06	0.05	0.01	0.17	0.04	0.04	0.09	0.07	0.01	0.07	0.01	0.17	0.13	0.08	0.02	0.1	0.04	0.17	0.14	0.5
24	0.44	0.67	0.61	0.3	0.35	0.29	0.6	0.81	0.47	0.46	0.5	0.44	0.56	0.09	0.48	0.76	0.64	0.47	0.5	0.73	0.31	0.24	0.6	0.59	0.5	0.29	0.5
25	0.19	0.27	0.54	0.16	0.23	0.12	0.39	0.44	0.22	0.29	0.17	0.25	0.33	0.1	0.3	0.49	0.21	0.24	0.22	0.47	0.14	0.22	0.3	0.28	0.39	0.14	0.5
26	0.22	0.35	0.54	0.22	0.29	0.14	0.42	0.5	0.24	0.31	0.17	0.26	0.36	0.1	0.3	0.54	0.29	0.27	0.22	0.4	0.14	0.24	0.33	0.3	0.44	0.29	0.5
27	0.19	0.27	0.54	0.16	0.23	0.12	0.39	0.44	0.21	0.29	0.17	0.25	0.33	0.1	0.3	0.49	0.21	0.24	0.22	0.4	0.14	0.22	0.3	0.28	0.39	0.14	0.5
28	0.25	0.29	0.57	0.16	0.23	0.12	0.39	0.44	0.21	0.33	0.17	0.27	0.33	0.12	0.3	0.49	0.36	0.26	0.22	0.47	0.14	0.27	0.3	0.28	0.39	0.14	0.5
29	0.19	0.35	0.54	0.16	0.23	0.12	0.4	0.44	0.21	0.29	0.17	0.25	0.34	0.1	0.3	0.49	0.21	0.27	0.22	0.4	0.14	0.22	0.37	0.33	0.39	0.14	0.5
30	0.28	0.33	0.54	0.2	0.26	0.15	0.49	0.5	0.28	0.4	0.33	0.3	0.44	0.19	0.41	0.61	0.43	0.36	0.22	0.4	0.16	0.22	0.47	0.37	0.44	0.14	0.5
31	0.31	0.38	0.54	0.18	0.29	0.17	0.45	0.44	0.25	0.36	0.17	0.26	0.36	0.12	0.34	0.54	0.29	0.29	0.33	0.47	0.16	0.24	0.47	0.37	0.61	0.29	0.5
32	0.14	0.23	0.36	0.2	0.23	0.22	0.45	0.56	0.36	0.24	0.5	0.34	0.45	0.19	0.28	0.54	0.29	0.31	0.39	0.53	0.28	0.11	0.23	0.28	0.33	0.29	0.5
33	0.14	0.21	0.36	0.2	0.23	0.22	0.45	0.44	0.36	0.23	0.5	0.33	0.44	0.19	0.3	0.54	0.29	0.31	0.39	0.47	0.28	0.11	0.2	0.28	0.33	0.29	0.5
34	0.14	0.21	0.39	0.21	0.26	0.22	0.45	0.44	0.38	0.23	0.5	0.34	0.45	0.19	0.28	0.56	0.29	0.31	0.39	0.53	0.28	0.13	0.2	0.28	0.39	0.29	0.5
35	0.14	0.21	0.36	0.2	0.23	0.22	0.44	0.44	0.35	0.23	0.5	0.33	0.43	0.19	0.28	0.54	0.29	0.31	0.39	0.47	0.28	0.11	0.2	0.28	0.33	0.29	0.5
36	0.06	0.12	0.18	0.03	0.16	0.1	0.45	0.12	0.25	0.11	0.17	0.23	0.33	0.02	0.4	0.45	0.29	0.16	0.28	0.33	0.13	0.04	0.1	0.2	0.22	0.14	0.5
37	0.14	0.21	0.36	0.2	0.23	0.22	0.44	0.44	0.35	0.23	0.5	0.33	0.43	0.19	0.3	0.54	0.29	0.31	0.39	0.47	0.28	0.11	0.2	0.28	0.33	0.29	0.5
38	0.14	0.21	0.46	0.21	0.23	0.24	0.48	0.5	0.4	0.23	0.5	0.35	0.46	0.19	0.38	0.55	0.29	0.33	0.44	0.6	0.28	0.11	0.2	0.3	0.33	0.29	0.5
39	0.36	0.4	0.46	0.22	0.29	0.29	0.57	0.56	0.43	0.26	0.5	0.4	0.58	0.22	0.4	0.68	0.43	0.37	0.56	0.47	0.31	0.18	0.4	0.35	0.56	0.29	0.5
40	0.17	0.25	0.36	0.2	0.23	0.24	0.46	0.44	0.38	0.23	0.5	0.34	0.44	0.22	0.28	0.54	0.29	0.31	0.39	0.47	0.28	0.11	0.3	0.3	0.33	0.29	0.5
41	0.06	0.25	0.11	0.01	0.03	0.02	0.08	0.19	0.07	0.05	0.33	0.05	0.08	0.1	0.05	0.12	0.07	0.09	0.39	0.33	0.01	0.07	0.3	0.09	0.06	0.14	0.5
42	0.28	0.33	0.54	0.24	0.35	0.27	0.54	0.69	0.44	0.35	0.5	0.39	0.55	0.19	0.43	0.61	0.57	0.39	0.5	0.67	0.29	0.24	0.43	0.37	0.5	0.29	0.5
43	0.14	0.21	0.39	0.21	0.23	0.24	0.51	0.44	0.4	0.23	0.5	0.37	0.47	0.19	0.4	0.55	0.29	0.34	0.5	0.47	0.3	0.11	0.2	0.3	0.33	0.29	0.5
44	0.14	0.21	0.39	0.2	0.23	0.22	0.46	0.44	0.36	0.23	0.5	0.33	0.45	0.19	0.34	0.54	0.29	0.34	0.5	0.47	0.28	0.11	0.2	0.28	0.33	0.29	0.5
