entity_alias_readable	Decayed	Sweet	Woody	Medicinal	Sulfidic	Fruity	Smoky	Uncategorised	Floral	Citrus	Mint
0	0.32	0.1	0.13	0.33	0.24	0.06	0.2	0.15	0.09	0.09	0.05
1	0.32	0.04	0.02	0.02	0.24	0.06	0.1	0.01	0.09	0.09	0.05
2	0.68	0.32	0.19	0.37	0.31	0.16	0.35	0.32	0.29	0.17	0.18
3	0.19	0.1	0.05	0.08	0.08	0.08	0.05	0.09	0.05	0.17	0.18
4	0.19	0.09	0.07	0.04	0.08	0.05	0.11	0.07	0.05	0.03	0.18
5	0.19	0.05	0.03	0.04	0.01	0.03	0.01	0.01	0.01	0.03	0.18
6	0.13	0.08	0.12	0.23	0.2	0.1	0.17	0.19	0.07	0.06	0.01
7	0.23	0.18	0.17	0.19	0.15	0.08	0.28	0.17	0.14	0.09	0.01
8	0.23	0.02	0.17	0.08	0.03	0.03	0.02	0.02	0.14	0.09	0.01
9	0.87	0.67	0.57	0.71	0.59	0.57	0.96	0.73	0.59	0.41	0.06
10	0.87	0.04	0.02	0.12	0.08	0.04	0.05	0.04	0.05	0.01	0.06
11	0.29	0.15	0.12	0.21	0.17	0.16	0.13	0.17	0.11	0.06	0.06
12	0.29	0.15	0.12	0.25	0.18	0.16	0.14	0.17	0.11	0.06	0.06
13	0.32	0.22	0.19	0.29	0.21	0.32	0.2	0.25	0.21	0.09	0.05
14	0.29	0.15	0.12	0.25	0.18	0.16	0.14	0.17	0.11	0.06	0.05
15	0.29	0.15	0.12	0.23	0.18	0.16	0.13	0.17	0.11	0.06	0.05
16	0.29	0.16	0.12	0.21	0.17	0.19	0.14	0.18	0.12	0.06	0.02
17	0.61	0.59	0.55	0.79	0.49	0.56	0.58	0.55	0.49	0.35	0.17
18	0.29	0.16	0.12	0.23	0.17	0.17	0.13	0.17	0.11	0.06	0.17
19	0.29	0.17	0.17	0.31	0.18	0.25	0.17	0.21	0.16	0.07	0.17
20	0.29	0.21	0.16	0.4	0.23	0.26	0.22	0.23	0.2	0.07	0.05
21	0.29	0.16	0.13	0.21	0.17	0.17	0.13	0.17	0.15	0.06	0.05
22	0.29	0.15	0.13	0.21	0.18	0.16	0.13	0.18	0.11	0.06	0.05
23	0.1	0.02	0.05	0.19	0.01	0.02	0.03	0.06	0.04	0.06	0.04
24	0.84	0.53	0.49	0.96	0.42	0.54	0.62	0.54	0.44	0.33	0.23
25	0.52	0.33	0.25	0.42	0.25	0.37	0.4	0.33	0.27	0.12	0.06
26	0.52	0.36	0.29	0.58	0.28	0.39	0.43	0.35	0.28	0.12	0.08
27	0.48	0.33	0.25	0.42	0.25	0.37	0.4	0.33	0.27	0.12	0.06
28	0.61	0.34	0.26	0.42	0.31	0.37	0.43	0.33	0.29	0.12	0.06
29	0.52	0.34	0.26	0.48	0.27	0.38	0.41	0.33	0.27	0.12	0.07
30	0.52	0.41	0.31	0.56	0.38	0.47	0.48	0.4	0.31	0.14	0.08
31	0.55	0.36	0.3	0.54	0.35	0.42	0.46	0.36	0.28	0.14	0.08
32	0.48	0.4	0.34	0.5	0.27	0.41	0.36	0.4	0.35	0.25	0.07
33	0.45	0.38	0.34	0.5	0.27	0.42	0.36	0.34	0.34	0.25	0.07
34	0.52	0.39	0.36	0.5	0.28	0.42	0.36	0.35	0.35	0.25	0.07
35	0.45	0.37	0.34	0.5	0.27	0.41	0.36	0.34	0.34	0.25	0.07
36	0.39	0.27	0.17	0.37	0.18	0.44	0.17	0.22	0.24	0.13	0.04
37	0.45	0.37	0.34	0.5	0.27	0.41	0.38	0.35	0.34	0.25	0.07
38	0.55	0.41	0.36	0.5	0.28	0.45	0.39	0.37	0.36	0.25	0.07
39	0.52	0.51	0.42	0.58	0.32	0.53	0.45	0.43	0.42	0.29	0.14
40	0.45	0.38	0.35	0.54	0.31	0.42	0.36	0.35	0.35	0.25	0.07
41	0.35	0.07	0.05	0.15	0.17	0.07	0.1	0.1	0.05	0.01	0.07
42	0.74	0.5	0.43	0.6	0.32	0.5	0.48	0.42	0.4	0.26	0.08
43	0.45	0.41	0.37	0.54	0.28	0.46	0.41	0.39	0.38	0.28	0.07
44	0.45	0.39	0.34	0.5	0.27	0.43	0.38	0.34	0.34	0.25	0.07
45	0.58	0.6	0.57	0.75	0.41	0.72	0.57	0.57	0.53	0.42	0.19
46	0.84	0.68	0.58	0.88	0.92	0.32	0.8	0.57	0.32	0.14	0.13
47	0.13	0.12	0.18	0.15	0.21	0.05	0.23	0.17	0.17	0.14	0.07
48	0.1	0.23	0.22	0.1	0.23	0.22	0.3	0.2	0.18	0.04	0.12
49	0.1	0.1	0.09	0.02	0.08	0.04	0.11	0.1	0.06	0.03	0.12
50	0.1	0.05	0.03	0.04	0.08	0.04	0.04	0.04	0.04	0.03	0.01
51	0.42	0.4	0.19	0.29	0.25	0.12	0.36	0.33	0.28	0.13	0.18
52	0.13	0.07	0.04	0.04	0.04	0.02	0.09	0.06	0.05	0.13	0.18
53	0.48	0.31	0.29	0.38	0.38	0.13	0.51	0.32	0.21	0.1	0.02
54	0.42	0.42	0.43	0.48	0.37	0.2	0.57	0.48	0.38	0.3	0.31
55	0.81	0.51	0.42	0.54	0.44	0.22	0.67	0.57	0.47	0.36	0.29
56	0.32	0.47	0.45	0.42	0.27	0.18	0.47	0.52	0.55	0.48	0.39
57	0.29	0.12	0.15	0.17	0.08	0.12	0.17	0.18	0.14	0.13	0.02
58	0.16	0.13	0.09	0.1	0.14	0.04	0.21	0.1	0.03	0.04	0.02
59	0.06	0.07	0.12	0.17	0.18	0.03	0.17	0.12	0.04	0.07	0.02
60	0.58	0.33	0.3	0.48	0.32	0.25	0.57	0.44	0.33	0.38	0.08
61	0.16	0.01	0.01	0.06	0.07	0.01	0.02	0.03	0.33	0.38	0.08
62	0.68	0.24	0.27	0.42	0.46	0.27	0.45	0.36	0.24	0.25	0.02
63	0.81	0.34	0.32	0.54	0.54	0.44	0.57	0.43	0.3	0.28	0.02
64	0.81	0.29	0.3	0.52	0.56	0.32	0.5	0.39	0.26	0.25	0.04
65	0.77	0.31	0.34	0.62	0.54	0.36	0.55	0.44	0.28	0.25	0.05
66	0.71	0.3	0.29	0.46	0.52	0.33	0.46	0.38	0.26	0.25	0.02
67	0.68	0.24	0.27	0.42	0.48	0.27	0.45	0.36	0.24	0.25	0.02
68	0.65	0.24	0.27	0.42	0.46	0.27	0.45	0.36	0.24	0.25	0.02
69	0.65	0.24	0.27	0.44	0.46	0.28	0.45	0.36	0.24	0.25	0.02
70	0.65	0.25	0.27	0.42	0.46	0.27	0.46	0.36	0.24	0.25	0.02
71	0.68	0.24	0.27	0.44	0.48	0.29	0.46	0.36	0.24	0.25	0.02
72	0.71	0.24	0.27	0.42	0.48	0.28	0.45	0.36	0.24	0.25	0.02
73	0.71	0.34	0.35	0.58	0.54	0.4	0.53	0.45	0.3	0.3	0.1
74	0.65	0.24	0.27	0.42	0.48	0.27	0.46	0.36	0.24	0.25	0.02
75	0.68	0.25	0.29	0.44	0.48	0.29	0.46	0.38	0.29	0.28	0.02
76	0.65	0.24	0.27	0.42	0.46	0.27	0.45	0.35	0.24	0.25	0.02
77	0.65	0.27	0.29	0.46	0.46	0.33	0.49	0.39	0.27	0.26	0.02
78	0.71	0.35	0.38	0.71	0.54	0.46	0.56	0.5	0.36	0.3	0.12
79	0.84	0.26	0.27	0.46	0.51	0.31	0.46	0.37	0.24	0.25	0.02
80	0.74	0.24	0.27	0.46	0.49	0.29	0.46	0.37	0.24	0.25	0.04
81	0.65	0.24	0.27	0.42	0.46	0.27	0.46	0.35	0.24	0.25	0.02
82	0.71	0.26	0.3	0.42	0.52	0.28	0.49	0.39	0.27	0.28	0.02
83	0.68	0.24	0.27	0.42	0.48	0.28	0.45	0.35	0.24	0.25	0.02
84	0.74	0.35	0.35	0.58	0.49	0.32	0.54	0.4	0.27	0.26	0.06
85	0.65	0.24	0.27	0.42	0.46	0.27	0.45	0.35	0.24	0.25	0.02
86	0.65	0.06	0.01	0.04	0.46	0.01	0.08	0.03	0.01	0.25	0.02
87	0.65	0.06	0.01	0.04	0.46	0.0	0.01	0.03	0.01	0.25	0.02
88	0.74	0.28	0.23	0.48	0.48	0.21	0.47	0.35	0.28	0.29	0.06
89	0.13	0.06	0.09	0.17	0.11	0.03	0.07	0.07	0.03	0.03	0.02
90	0.03	0.0	0.01	0.17	0.11	0.01	0.02	0.01	0.02	0.01	0.02
91	0.13	0.01	0.06	0.06	0.01	0.03	0.11	0.1	0.13	0.04	0.01
92	0.03	0.0	0.01	0.06	0.01	0.01	0.01	0.01	0.02	0.01	0.01
93	0.03	0.0	0.01	0.02	0.01	0.0	0.01	0.01	0.02	0.01	0.01
94	0.32	0.09	0.09	0.12	0.17	0.04	0.09	0.09	0.05	0.04	0.01
95	0.32	0.0	0.0	0.12	0.17	0.04	0.09	0.09	0.05	0.04	0.04
96	0.03	0.02	0.04	0.04	0.17	0.02	0.01	0.01	0.01	0.06	0.08
