		Uncategorised	Meaty	 Nutty	Medicinal	Chocolate	Wood	Spice	Herbaceous	 Berry	Dairy	Green	Roasted	Petrol	Floral	Caramel	Sulphur	 Tree fruit	Tropical	Marine	Earthy	Fruit like	Melon	Sour	 Citrus	Phenol	Pungent	Toasted	Smoke	Savory
0	Egg	0.15	0.24	0.17	0.14	0.22	0.05	0.02	0.03	0.06	0.19	0.12	0.1	0.6	0.08	0.07	0.1	0.01	0.04	0.28	0.29	0.42	0.0	0.21	0.12	0.15	0.13	0.0	0.0	0.0
1	Bakery Products	0.02	0.0	0.21	0.03	0.19	0.02	0.02	0.03	0.06	0.03	0.0	0.07	0.6	0.08	0.0	0.1	0.01	0.04	0.28	0.04	0.0	0.0	0.21	0.12	0.15	0.13	0.0	0.0	0.0
2	Bread	0.35	0.11	0.35	0.14	0.26	0.09	0.18	0.11	0.18	0.16	0.24	0.08	0.0	0.27	0.31	0.1	0.13	0.12	0.28	0.2	0.33	0.06	0.71	0.21	0.15	0.38	0.18	0.0	0.0
3	Rye Bread	0.08	0.0	0.1	0.01	0.0	0.0	0.04	0.0	0.09	0.19	0.06	0.03	0.0	0.03	0.1	0.01	0.02	0.05	0.06	0.11	0.0	0.0	0.21	0.21	0.03	0.04	0.09	0.17	0.0
4	Wheaten Bread	0.08	0.03	0.06	0.01	0.11	0.02	0.04	0.05	0.06	0.03	0.05	0.08	0.0	0.05	0.08	0.03	0.02	0.05	0.22	0.07	0.17	0.0	0.14	0.01	0.06	0.04	0.18	0.17	0.0
5	White Bread	0.02	0.03	0.02	0.0	0.0	0.0	0.04	0.0	0.03	0.03	0.02	0.01	0.0	0.01	0.05	0.03	0.0	0.01	0.22	0.07	0.17	0.0	0.14	0.01	0.06	0.0	0.0	0.17	0.0
6	Wholewheat Bread	0.15	0.08	0.1	0.01	0.04	0.02	0.0	0.05	0.13	0.32	0.2	0.1	0.4	0.05	0.09	0.1	0.05	0.08	0.28	0.17	0.33	0.06	0.14	0.03	0.03	0.07	0.0	0.0	0.0
7	Wort	0.19	0.16	0.25	0.04	0.26	0.05	0.1	0.1	0.09	0.29	0.14	0.08	0.2	0.13	0.14	0.06	0.08	0.12	0.11	0.26	0.17	0.06	0.14	0.07	0.21	0.16	0.18	0.06	0.0
8	Arrack	0.02	0.16	0.02	0.04	0.0	0.05	0.1	0.1	0.03	0.29	0.0	0.08	0.2	0.13	0.01	0.06	0.05	0.12	0.11	0.26	0.17	0.0	0.14	0.07	0.21	0.0	0.18	0.06	0.0
9	Beer	0.73	0.42	0.69	0.23	0.63	0.3	0.47	0.31	0.68	0.71	0.69	0.34	0.6	0.56	0.73	0.36	0.47	0.65	0.61	0.63	0.83	0.53	0.79	0.38	0.62	0.58	0.45	0.56	0.0
10	Bantu Beer	0.04	0.42	0.04	0.0	0.0	0.3	0.47	0.31	0.03	0.71	0.01	0.0	0.0	0.03	0.03	0.04	0.01	0.04	0.61	0.03	0.17	0.53	0.79	0.0	0.62	0.02	0.0	0.56	0.0
11	Brandy	0.16	0.11	0.06	0.07	0.0	0.04	0.1	0.08	0.18	0.13	0.15	0.03	0.0	0.1	0.15	0.04	0.06	0.17	0.06	0.06	0.0	0.12	0.21	0.03	0.06	0.11	0.18	0.11	0.0
12	Anise Brandy	0.16	0.11	0.08	0.07	0.0	0.04	0.1	0.08	0.18	0.13	0.15	0.03	0.0	0.1	0.15	0.04	0.06	0.17	0.06	0.06	0.0	0.12	0.21	0.03	0.06	0.13	0.18	0.11	0.0
13	Apple Brandy	0.23	0.11	0.1	0.11	0.04	0.08	0.12	0.15	0.35	0.13	0.26	0.03	0.0	0.18	0.24	0.06	0.2	0.35	0.11	0.14	0.08	0.24	0.21	0.06	0.06	0.16	0.18	0.11	0.0
14	Armagnac Brandy	0.16	0.11	0.08	0.07	0.0	0.04	0.1	0.08	0.18	0.13	0.15	0.03	0.0	0.1	0.15	0.04	0.06	0.17	0.06	0.06	0.0	0.12	0.21	0.03	0.06	0.13	0.18	0.11	0.0
15	Blackberry Brandy	0.16	0.11	0.06	0.07	0.0	0.04	0.1	0.08	0.18	0.13	0.15	0.03	0.0	0.1	0.15	0.04	0.06	0.17	0.06	0.06	0.0	0.12	0.21	0.03	0.06	0.13	0.18	0.11	0.0
16	Cherry Brandy	0.17	0.11	0.06	0.09	0.04	0.04	0.12	0.08	0.23	0.13	0.16	0.03	0.0	0.11	0.16	0.04	0.13	0.18	0.06	0.06	0.0	0.24	0.21	0.03	0.06	0.11	0.18	0.11	0.0
17	Cognac Brandy	0.59	0.16	0.35	0.3	0.37	0.36	0.35	0.49	0.63	0.61	0.58	0.07	0.0	0.45	0.62	0.11	0.45	0.65	0.39	0.46	0.17	0.59	0.64	0.31	0.5	0.56	0.27	0.39	0.0
18	Papaya Brandy	0.16	0.11	0.06	0.07	0.0	0.04	0.1	0.08	0.18	0.13	0.15	0.03	0.0	0.1	0.16	0.04	0.06	0.19	0.06	0.06	0.0	0.12	0.21	0.03	0.06	0.11	0.18	0.11	0.0
19	Pear Brandy	0.2	0.13	0.08	0.1	0.0	0.05	0.14	0.11	0.24	0.13	0.22	0.04	0.0	0.13	0.17	0.04	0.15	0.27	0.11	0.07	0.0	0.18	0.21	0.04	0.09	0.13	0.18	0.17	0.0
20	Plum Brandy	0.23	0.11	0.1	0.14	0.11	0.05	0.14	0.1	0.29	0.16	0.19	0.03	0.0	0.18	0.2	0.04	0.15	0.27	0.06	0.07	0.0	0.18	0.21	0.06	0.06	0.2	0.18	0.11	0.0
21	Raspberry Brandy	0.16	0.11	0.06	0.07	0.0	0.08	0.1	0.08	0.19	0.13	0.15	0.03	0.0	0.13	0.17	0.04	0.06	0.19	0.06	0.06	0.0	0.12	0.21	0.03	0.06	0.11	0.18	0.11	0.0
22	Weinbrand Brandy	0.16	0.13	0.06	0.07	0.0	0.04	0.1	0.1	0.18	0.13	0.16	0.03	0.0	0.1	0.15	0.07	0.06	0.17	0.06	0.06	0.0	0.12	0.21	0.03	0.06	0.11	0.18	0.11	0.0
23	Gin	0.07	0.13	0.0	0.01	0.0	0.05	0.04	0.0	0.02	0.0	0.04	0.0	0.0	0.04	0.03	0.07	0.06	0.0	0.0	0.0	0.0	0.12	0.07	0.07	0.06	0.02	0.18	0.11	0.0
24	Rum	0.56	0.39	0.46	0.53	0.59	0.29	0.41	0.28	0.59	0.74	0.45	0.25	0.4	0.41	0.55	0.07	0.49	0.76	0.44	0.47	0.25	0.47	0.71	0.29	0.62	0.58	0.18	0.44	0.0
25	Whisky	0.33	0.16	0.31	0.19	0.52	0.14	0.2	0.11	0.4	0.48	0.21	0.22	0.0	0.24	0.31	0.09	0.28	0.49	0.28	0.23	0.0	0.18	0.43	0.12	0.29	0.27	0.09	0.33	0.0
26	Bourbon Whisky	0.37	0.18	0.33	0.24	0.52	0.21	0.24	0.13	0.42	0.55	0.23	0.23	0.0	0.25	0.34	0.09	0.28	0.54	0.33	0.26	0.0	0.18	0.36	0.12	0.32	0.29	0.18	0.39	0.0
27	Canadian Whisky	0.33	0.16	0.31	0.19	0.52	0.14	0.2	0.11	0.4	0.48	0.2	0.22	0.0	0.24	0.31	0.09	0.28	0.49	0.28	0.23	0.0	0.18	0.36	0.12	0.29	0.27	0.09	0.33	0.0
28	Finnish Whisky	0.35	0.24	0.37	0.2	0.56	0.14	0.2	0.11	0.4	0.48	0.2	0.25	0.0	0.26	0.31	0.11	0.28	0.49	0.39	0.24	0.0	0.18	0.43	0.12	0.29	0.27	0.18	0.33	0.0
29	Japanese Whisky	0.34	0.16	0.31	0.24	0.52	0.14	0.22	0.11	0.41	0.48	0.2	0.23	0.0	0.24	0.32	0.09	0.28	0.49	0.28	0.26	0.0	0.18	0.36	0.12	0.35	0.31	0.09	0.33	0.0
30	Malt Whisky	0.4	0.24	0.42	0.23	0.52	0.19	0.29	0.15	0.49	0.55	0.27	0.25	0.2	0.28	0.42	0.17	0.39	0.61	0.44	0.36	0.17	0.18	0.36	0.15	0.44	0.36	0.09	0.39	0.0
31	Scotch Whisky	0.38	0.26	0.37	0.29	0.52	0.16	0.24	0.16	0.45	0.48	0.24	0.23	0.0	0.26	0.34	0.11	0.33	0.54	0.33	0.27	0.0	0.29	0.43	0.15	0.47	0.36	0.18	0.56	0.0
32	Wine	0.37	0.11	0.15	0.14	0.33	0.2	0.2	0.2	0.44	0.55	0.35	0.08	0.4	0.33	0.44	0.17	0.3	0.54	0.28	0.31	0.17	0.35	0.5	0.26	0.21	0.27	0.09	0.28	0.0
33	Bilberry Wine	0.33	0.11	0.13	0.13	0.33	0.2	0.18	0.2	0.44	0.48	0.35	0.08	0.4	0.32	0.43	0.17	0.31	0.54	0.28	0.31	0.17	0.35	0.43	0.26	0.18	0.27	0.09	0.28	0.0
